"Data.Number Plate","Data.State","Data.Car.Make","Data.Car.Style","Data.Car.Color","Data.Location","Data.Violation","Data.Fine","Date.Year","Date.Month","Date.Day","Date.Time.Hour","Date.Time.Minute"
"UZD5497","VA","Suzuki","Sports Utility Veh","Blue","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","440.0","2020","8","3","7","8"
"UKM3609","VA","Infiniti","Four Door","Gray","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","440.0","2020","8","12","7","8"
"UHE8253","VA","Kia","Four Door","Gray","W LITTLE CREEK ROAD","HANDICAPPED PARKING ","440.0","2020","11","9","14","11"
"UMK5078","VA","Toyota","Sports Utility Veh","Gray","NORVIEW AVENUE","HANDICAPPED PARKING ","440.0","2020","11","26","17","11"
"UKF7574","VA","Nissan","Four Door","Blue","COACH WAY DRIVE","HANDICAPPED PARKING ","440.0","2020","12","1","2","12"
"UMP1926","VA","Lexus","Four Door","White","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","440.0","2020","12","2","7","12"
"UPV9552","VA","Nissan","Four Door","Black","LITTLE CREEK RD","HANDICAPPED PARKING ","440.0","2020","12","3","13","12"
"VHR7824","VA","Chevrolet","Sedan","Gray","TIDEWATER DRIVE","HANDICAPPED PARKING ","440.0","2020","12","8","11","12"
"UFV8003","VA","Nissan","Four Door","Gray","HARDY AVENUE","HANDICAPPED PARKING ","440.0","2020","12","15","9","12"
"S66539T","VA","Chevrolet","Four Door","Silver","E VIRGINIA BEACH BOULEVARD","HANDICAPPED PARKING ","440.0","2020","12","17","8","12"
"UKH1625","VA","Dodge","Sports Utility Veh","Black","COLLEY AVENUE","HANDICAPPED PARKING ","440.0","2021","1","19","15","1"
"UNN7151","VA","Volkswagen","Four Door","Gray","W 49TH ST","HANDICAPPED PARKING ","440.0","2021","3","1","14","3"
"VRS7240","VA","Plymouth","Four Door","Tan","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2018","10","12","1","10"
"UXJ6923","VA","Ford","Sports Utility Veh","Gray","WHITAKER LANE","HANDICAPPED PARKING C","425.0","2018","10","13","8","10"
"VNT3503","VA","Nissan","Sports Utility Veh","Black","E OCEAN VIEW AVENUE","HANDICAPPED PARKING C","425.0","2018","11","10","0","11"
"VST2744","VA","Mazda","Four Door","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2018","11","10","12","11"
"UYP4992","VA","Jaguar","Sedan","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2018","12","1","14","12"
"VCK8123","VA","Mercedes-Benz","Four Door","Black","UNION STREET","HANDICAPPED PARKING C","425.0","2018","12","4","14","12"
"VYR3324","VA","Chevrolet","Four Door","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2018","12","8","10","12"
"UXV1715","VA","Chrysler","Sedan","Blue","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2018","12","15","10","12"
"UWY5733","VA","Dodge","Sedan","Black","GRANBY STREET","HANDICAPPED PARKING C","425.0","2018","12","21","22","12"
"VYZ9417","VA","Dodge","Van","White","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2019","1","8","11","1"
"UXA6983","VA","Ford","Truck","White","BAGNALL ROAD","HANDICAPPED PARKING C","425.0","2019","1","14","13","1"
"VFT7904","VA","Toyota","Truck","Blue","BROOKE AVENUE","HANDICAPPED PARKING C","425.0","2019","1","18","18","1"
"UZM8749","VA","BMW","Two Door","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2019","2","9","9","2"
"UWT2474","VA","Hyundai","Four Door","Black","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2019","2","16","14","2"
"UTW3479","VA","Infiniti","Four Door","Beige","VERNON DRIVE","HANDICAPPED PARKING C","425.0","2019","2","26","3","2"
"UYY9890","VA","Kia","Four Door","White","N MILITARY HIGHWAY","HANDICAPPED PARKING C","425.0","2019","3","4","10","3"
"UTW4020","VA","Toyota","Four Door","White","WILEY DRIVE","HANDICAPPED PARKING C","425.0","2019","3","10","10","3"
"VLM3741","VA","Cadillac","Four Door","Gold","UNION STREET","HANDICAPPED PARKING C","425.0","2019","3","18","10","3"
"UUT8131","VA","Infiniti","Four Door","Black","KIMBALL TERRACE","HANDICAPPED PARKING C","425.0","2019","3","23","15","3"
